id,output
49,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING extra ) (TOPPING cheese ) (NOT (TOPPING bacon ) ) ) )
50,(ORDER (PIZZAORDER (NUMBER four ) (SIZE medium ) (TOPPING extra cheese ) (TOPPING light ) sauce ) )
51,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (SIZE bacon mushroom ) ) (NOT (TOPPING pineapple ) ) )
52,(ORDER (PIZZAORDER (TOPPING onion ) (TOPPING ham ) ) )
53,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER a ) (TOPPING bacon sausage ) ) )
54,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tuna olives ) (TOPPING extra ) cheese ) )
55,(ORDER (PIZZAORDER (NUMBER a ) (STYLE thin crust olive ) (NOT (TOPPING pineapple ) ) ) )
56,(ORDER (DRINKORDER (NUMBER like ) (NUMBER five ) (SIZE medium ) (DRINKTYPE mushroom ) ) )
57,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pesto ) ) (PIZZAORDER (TOPPING onion ) (NOT (TOPPING bacon ) ) ) )
58,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING chicken sausage ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
59,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE thin crust olive ) ) (NOT (TOPPING onions ) ) )
60,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING ham ) (TOPPING pepperoni ) ) )
61,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepperoni ) (TOPPING extra cheese ) ) (NOT (TOPPING mushrooms ) ) )
62,(ORDER (PIZZAORDER (NUMBER an ) (TOPPING olive ) (TOPPING pepper ) (NOT (TOPPING onions ) ) ) )
63,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pepperoni ) (QUANTITY extra ) ) (TOPPING cheese ) )
64,(ORDER (PIZZAORDER (NUMBER a ) (STYLE thin crust ) (TOPPING peppers ) (TOPPING chicken ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE pepsi ) ) )
65,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (DRINKTYPE vegan ) ) (DRINKORDER (NUMBER one ) (SIZE large ) (DRINKTYPE vegetarian ) ) )
66,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pesto ) (TOPPING onions ) ) )
67,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING chicken mushroom ) ) )
68,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING bacon ) (TOPPING olives ) ) )
69,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pesto ) (TOPPING sausage ) ) (NOT (TOPPING pepperoni ) ) )
70,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING olives ) (TOPPING onions ) ) )
71,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING ham ) ) )
72,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pesto ) (QUANTITY extra ) ) )
73,(ORDER (PIZZAORDER (SIZE one ) (SIZE large ) (TOPPING pepperoni ) ) (PIZZAORDER (NUMBER two ) (SIZE medium ) (DRINKTYPE italian ) (SIZE sausage ) ) (DRINKORDER (NUMBER four ) (SIZE large ) (DRINKTYPE diet ) sprites ) )
74,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER one ) (TOPPING bacon ) ) )
75,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING bacon ) (TOPPING olive ) (NOT (TOPPING pepperoni ) ) ) )
76,(ORDER (PIZZAORDER (NUMBER like ) (SIZE a ) (SIZE small ) (TOPPING chicken ) (TOPPING bacon ) ) (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE diet ) ) (DRINKTYPE pepsi ) )
77,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING ham pesto ) ) (TOPPING mushrooms ) )
78,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING onion ) (TOPPING peppers ) ) )
79,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING pepperoni ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE dr pepper ) ) (DRINKORDER (NUMBER a ) ) (NUMBER water ) )
80,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushrooms ) (TOPPING pineapple ) ) )
81,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING tuna ) (NOT (TOPPING bacon ) ) ) )
82,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING chicken ) (TOPPING mushrooms ) ) (NOT (TOPPING olives ) ) )
83,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pineapple sausage ) ) )
84,(ORDER (PIZZAORDER (NUMBER like ) (SIZE a ) (SIZE medium ) (TOPPING mushroom ) (TOPPING pepperoni ) (TOPPING extra ) (TOPPING cheese ) ) )
85,(ORDER (PIZZAORDER (STYLE thin crust ) (CONTAINERTYPE mushroom ) ) )
86,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepperoni sausage ) ) )
87,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onions ) (TOPPING pineapple ) ) )
88,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE onion ) (TOPPING pesto ) ) (NOT (TOPPING peppers ) ) )
89,(ORDER (PIZZAORDER (NUMBER five ) (DRINKTYPE onion ) (TOPPING pepper ) ) (TOPPING pesto ) )
90,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING bacon mushroom ) (TOPPING sausage ) ) )
91,(ORDER (DRINKORDER (NUMBER three ) (SIZE pepsis ) (DRINKTYPE two ) (DRINKTYPE dr peppers ) ) (DRINKORDER (NUMBER a ) ) (DRINKTYPE sprite ) )
92,(ORDER (PIZZAORDER (SIZE extra large ) (STYLE veggie ) (TOPPING extra cheese ) (SIZE extra large ) (STYLE veggie ) ) )
93,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING spinach ) (TOPPING grilled chicken ) ) )
94,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushroom ) ) (PIZZAORDER (TOPPING pineapple ) ) )
95,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (STYLE deep dish meat ) ) )
96,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tuna ) (TOPPING pepperoni ) ) (TOPPING olives ) )
97,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING thin ) (STYLE crust ) (TOPPING peppers ) (TOPPING chicken ) ) )
98,(ORDER (PIZZAORDER (TOPPING olive ) (TOPPING sausage ) ) (NOT (TOPPING tuna ) ) )
99,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING thin ) (STYLE crust ) (TOPPING pesto ) ) )
100,(ORDER (DRINKORDER (SIZE pepsis one ) (DRINKTYPE fanta ) (NUMBER one ) (SIZE small ) (DRINKTYPE doctor ) (SIZE pepper ) ) )
101,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING bacon ) (TOPPING chicken ) (NOT (TOPPING olives ) ) ) )
102,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tomatoes ) (TOPPING peppers ) ) (TOPPING sausage ) )
103,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING pepper ) (TOPPING mushroom ) ) (NOT (TOPPING pineapple ) ) )
104,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE thin crust ) (TOPPING onion ) ) )
105,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onions ) (TOPPING olives ) ) (TOPPING sausage ) )
106,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING onions ) (TOPPING pesto ) (NOT (TOPPING peppers ) ) ) )
107,(ORDER (PIZZAORDER (NUMBER like ) ) (PIZZAORDER (NUMBER a ) (TOPPING bacon ) (TOPPING tuna ) ) (SIZE onions ) )
108,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (STYLE thin crust ) (TOPPING pesto ) (TOPPING onions ) ) )
109,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) ) (NOT (TOPPING pesto ) ) )
110,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepperoni sausage ) ) )
111,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pineapple ) (TOPPING extra cheese ) ) )
112,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING chicken ) ) )
113,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tuna ) (TOPPING mushrooms ) ) (NOT (TOPPING bacon ) ) )
114,(ORDER (PIZZAORDER (TOPPING olive ) (TOPPING pepperoni ) ) )
115,(ORDER (PIZZAORDER (NUMBER an ) (SIZE extra large ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING onions ) (TOPPING extra cheese ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) ) (TOPPING mushrooms ) )
116,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) (SIZE cheese ) ) )
117,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING mushroom ) ) )
118,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING ham pepperoni ) ) (TOPPING tuna ) )
119,(ORDER (PIZZAORDER (SIZE a ) (SIZE large ) (TOPPING sausage olives ) ) (TOPPING ham ) )
120,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) (TOPPING spinach ) ) (TOPPING anchovies ) )
121,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER a ) (TOPPING pepperoni pineapple ) ) )
122,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING bacon ) (TOPPING peppers ) ) (TOPPING mushrooms ) )
123,(ORDER (PIZZAORDER (NUMBER like ) (SIZE one ) (SIZE small ) (TOPPING extra ) (TOPPING cheese tuna ) ) (NOT (TOPPING pepperoni ) ) )
124,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING cheese ) ) (PIZZAORDER (NUMBER two ) (SIZE small ) ) (DRINKORDER (NUMBER two ) ) (SIZE cokes ) )
125,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE vegan ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING mushrooms ) ) ) (DRINKORDER (NUMBER one ) (SIZE small ) (SIZE pepperoni ) ) )
126,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING mushroom ) (TOPPING pineapple ) (NOT (TOPPING ham ) ) ) )
127,(ORDER (PIZZAORDER (NUMBER like ) (SIZE a ) (SIZE small ) (TOPPING onion ) (TOPPING pineapple ) ) (NOT (TOPPING sausage ) ) )
128,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING mushroom ) (TOPPING chicken ) ) )
129,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushroom ) (TOPPING tuna ) ) )
130,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING mushroom ) (TOPPING sausage ) ) (NOT (TOPPING pineapple ) ) )
131,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pineapple ) (TOPPING peppers ) ) )
132,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING spinach ) ) (DRINKORDER (NUMBER a ) (SIZE two ) (SIZE liter ) (DRINKTYPE coke ) ) )
133,(ORDER (DRINKORDER (NUMBER two ) (CONTAINERTYPE bottle ) ) (DRINKORDER (NUMBER a ) ) (SIZE medium ) )
134,(ORDER (DRINKORDER (NUMBER two ) (SIZE large ) (DRINKTYPE pepperoni ) ) (DRINKORDER (NUMBER a ) (SIZE two ) (SIZE liter ) (DRINKTYPE sprite ) ) )
135,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pesto tuna ) ) )
136,(ORDER (PIZZAORDER (NUMBER three ) (TOPPING bacon ) (NOT (TOPPING pepperoni ) ) ) )
137,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pesto ) ) )
138,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING onions ) (TOPPING chicken ) ) )
139,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE thin crust ham ) ) (NOT (TOPPING onions ) ) )
140,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING ham pesto ) ) (TOPPING mushrooms ) )
141,(ORDER (DRINKORDER (NUMBER one ) (SIZE fanta ) (DRINKTYPE two ) (DRINKTYPE dr peppers ) ) (DRINKORDER (NUMBER four ) (SIZE small ) (DRINKTYPE pepsis ) ) )
142,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (STYLE italian ) (TOPPING sausage ) (TOPPING peppers ) (TOPPING feta ) (TOPPING green olives ) ) (DRINKORDER (NUMBER a ) (SIZE small ) ) (SIZE coffee ) )
143,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING ham pepperoni ) ) )
144,(ORDER (PIZZAORDER (NUMBER a ) (STYLE thin crust ) (TOPPING chicken ) ) (DRINKORDER (TOPPING pineapple ) ) )
145,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pepperoni ) (TOPPING ham ) ) )
146,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepperoni ) (TOPPING ham ) ) )
147,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushrooms ) ) )
148,(ORDER (PIZZAORDER (NUMBER like ) (SIZE two ) (SIZE small ) (STYLE thin crust ) (TOPPING pesto ) ) (TOPPING onions ) )
149,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING bacon ) (TOPPING extra cheese ) ) (NOT (TOPPING mushrooms ) ) )
150,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING chicken pesto ) ) )
151,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER a ) (TOPPING extra cheese ) ) (TOPPING pepperoni ) )
152,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) (TOPPING carrots ) ) (TOPPING salami ) )
153,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING onions ) ) (TOPPING salami ) )
154,(ORDER (PIZZAORDER (NUMBER three ) (SIZE medium ) (TOPPING roasted garlic ) ) )
155,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) (TOPPING onions olives ) ) (TOPPING chicken ) )
156,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pepperoni ) ) (PIZZAORDER (NOT (TOPPING mushrooms ) ) ) )
157,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pesto ) (TOPPING pepperoni ) (QUANTITY extra ) ) (TOPPING cheese ) )
158,(ORDER (PIZZAORDER (NUMBER three ) (TOPPING pesto onions ) ) (TOPPING bacon ) )
159,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING peppers as ) (TOPPING well as ) ) (NOT (TOPPING olives ) ) )
160,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE big meat ) ) (DRINKORDER (NUMBER two ) (SIZE medium ) ) (DRINKTYPE cokes ) )
161,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onion ) (TOPPING pineapple ) (NOT (TOPPING pesto ) ) ) )
162,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (DRINKTYPE thin ) (CONTAINERTYPE crust pesto ) ) )
163,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepperoni sausage ) (TOPPING hot peppers ) (TOPPING onions ) ) (DRINKORDER (NUMBER four ) (SIZE medium ) ) (SIZE cokes ) )
164,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) (TOPPING mushrooms ) ) (TOPPING pineapple ) )
165,(ORDER (DRINKORDER (NUMBER five ) (SIZE large ) ) (DRINKTYPE cokes ) )
166,(ORDER (PIZZAORDER (NUMBER a ) (NOT (TOPPING olives ) ) ) )
167,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) (TOPPING lettuce ) ) (TOPPING tuna ) )
168,(ORDER (PIZZAORDER (NUMBER two ) (DRINKTYPE mushroom ) ) )
169,(ORDER (PIZZAORDER (SIZE two ) (SIZE small ) (TOPPING onion mushrooms ) ) (TOPPING peppers ) )
170,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING extra cheese ) (TOPPING sausage ) ) )
171,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING onion ) (TOPPING chicken ) (NOT (TOPPING ham ) ) ) )
172,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING peppers ham ) ) (TOPPING olives ) )
173,(ORDER (PIZZAORDER (SIZE small ) (TOPPING ham ) (STYLE thin ) (NOT (TOPPING peppers ) ) ) )
174,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onions ) ) (TOPPING bacon ) )
175,(ORDER (PIZZAORDER (SIZE one large ) (TOPPING extra cheese ) (TOPPING pineapple ) ) )
176,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepperoni ) (TOPPING extra cheese ) ) )
177,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING peppers ) (TOPPING bay leaves ) ) )
178,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pesto ) (STYLE tuna ) (NOT (TOPPING peppers ) ) ) )
179,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER a ) (STYLE thin crust ) (TOPPING tuna ) ) )
180,(ORDER (DRINKORDER (NUMBER cokes ) (SIZE six large ) (SIZE sprites two ) (SIZE medium ) (DRINKTYPE sprites ) ) (DRINKORDER (NUMBER four ) (SIZE large ) (DRINKTYPE ice teas ) ) )
181,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) (TOPPING peppers ) ) (TOPPING chicken ) )
182,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (NOT (TOPPING pesto ) ) ) )
183,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING ham chicken ) ) (TOPPING pineapple ) )
184,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepper ) (TOPPING sausage ) ) )
185,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) (TOPPING peas olives ) ) (TOPPING carrots ) )
186,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepper ) (TOPPING onion ) (TOPPING olives ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE pepsi ) ) )
187,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE mushroom ) (TOPPING ham ) ) (TOPPING onions ) )
188,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING bacon ) (TOPPING tuna peppers ) ) )
189,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE thin crust ) (TOPPING pesto ) ) )
190,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pesto ) ) (NOT (TOPPING onions ) ) )
191,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large thin crust ) (TOPPING bacon ) ) )
192,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING mushrooms peppers ) ) (NOT (TOPPING onions ) ) )
193,(ORDER (PIZZAORDER (NUMBER like ) ) (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING peppers ) (TOPPING sausage ) ) (TOPPING pineapple ) )
194,(ORDER (PIZZAORDER (NUMBER a ) (STYLE thin crust ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
195,(ORDER (PIZZAORDER (NUMBER a ) (SIZE vegan ) ) )
196,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING green peppers ) (TOPPING feta ) cheese ) )
197,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (SIZE margarita ) ) )
