id,output
48,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING onions ) (TOPPING ham ) (NOT (TOPPING sausage ) ) ) )
49,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING extra ) (TOPPING cheese ) (NOT (TOPPING bacon ) ) ) )
50,(ORDER (PIZZAORDER (NUMBER four ) (SIZE medium ) (TOPPING extra ) (TOPPING cheese and ) (TOPPING light sauce ) ) )
51,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING bacon ) (NOT (TOPPING pineapple ) ) ) )
52,(ORDER (PIZZAORDER (TOPPING an ) (TOPPING onion ) (TOPPING ham ) (TOPPING tuna ) ) )
53,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER a ) (TOPPING bacon ) (TOPPING sausage ) ) )
54,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tuna ) (TOPPING olives ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
55,(ORDER (PIZZAORDER (NUMBER a ) (STYLE thin crust ) (TOPPING olive ) (NOT (TOPPING pineapple ) ) ) )
56,(ORDER (DRINKORDER (NUMBER like ) (SIZE five ) (SIZE medium ) (TOPPING mushroom ) ) )
57,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pesto ) (TOPPING onion ) (NOT (TOPPING bacon ) ) ) )
58,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING chicken ) (TOPPING sausage ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
59,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE thin crust ) (TOPPING olive ) (NOT (TOPPING onions ) ) ) )
60,(ORDER (PIZZAORDER (NUMBER a ) (COMPLEX_TOPPING (QUANTITY small ) (TOPPING ham ) ) (NOT (TOPPING tuna ) ) ) )
61,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepperoni ) (TOPPING extra ) (TOPPING cheese ) (NOT (TOPPING mushrooms ) ) (NOT (TOPPING please ) ) ) )
62,(ORDER (PIZZAORDER (TOPPING an ) (TOPPING olive ) (TOPPING pepper ) (NOT (TOPPING onions ) ) ) )
63,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pepperoni ) (TOPPING extra cheese ) ) )
64,(ORDER (PIZZAORDER (NUMBER a ) (STYLE thin crust ) (TOPPING peppers ) (TOPPING chicken ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE pepsi ) ) )
65,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (DRINKTYPE vegan ) ) (DRINKORDER (NUMBER one ) (SIZE large ) (DRINKTYPE vegetarian ) ) )
66,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pesto ) (TOPPING onions ) (NOT (TOPPING bacon ) ) ) )
67,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING chicken ) (NOT (TOPPING olives ) ) ) )
68,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING bacon ) (TOPPING olives ) ) )
69,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pesto ) (TOPPING sausage ) (NOT (TOPPING pepperoni ) ) (NOT (TOPPING please ) ) ) )
70,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING olives ) (TOPPING onions ) (NOT (TOPPING pepperonis ) ) ) )
71,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING ham ) (NOT (TOPPING onions ) ) ) )
72,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pesto ) (QUANTITY extra ) ) (NOT (TOPPING tuna ) ) )
73,(ORDER (PIZZAORDER (NUMBER like ) (SIZE one large ) (TOPPING pepperoni ) ) (PIZZAORDER (NUMBER two ) (SIZE medium ) (DRINKTYPE italian sausage ) ) (DRINKORDER (NUMBER four ) ) (SIZE large ) )
74,(ORDER (PIZZAORDER (TOPPING bacon ) (TOPPING olives ) ) )
75,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING bacon ) (NOT (TOPPING pepperoni ) ) ) )
76,(ORDER (PIZZAORDER (NUMBER like ) (SIZE a ) (SIZE small ) (TOPPING chicken ) ) (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE diet pepsi ) ) )
77,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING ham ) (TOPPING pesto ) ) )
78,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING onion ) (TOPPING peppers ) ) )
79,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING pepperoni ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE dr pepper ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE water ) ) )
80,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushrooms ) (TOPPING pineapple ) (NOT (TOPPING ham ) ) ) )
81,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING tuna ) (TOPPING mushroom ) (NOT (TOPPING bacon ) ) ) )
82,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING chicken ) (TOPPING mushrooms ) (NOT (TOPPING olives ) ) ) )
83,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pineapple ) (TOPPING sausage ) (NOT (TOPPING peppers ) ) ) )
84,(ORDER (PIZZAORDER (SIZE a ) (SIZE medium ) (TOPPING mushroom ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
85,(ORDER (PIZZAORDER (NUMBER six ) (STYLE thin ) (CONTAINERTYPE crust ) ) )
86,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepperoni ) (TOPPING sausage ) (NOT (TOPPING olives ) ) ) )
87,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onions ) (TOPPING pineapple ) (NOT (TOPPING pesto ) ) ) )
88,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING onion ) (TOPPING pesto ) (NOT (TOPPING peppers ) ) ) )
89,(ORDER (PIZZAORDER (NUMBER five ) (TOPPING onion ) (TOPPING pepper ) (TOPPING pesto ) ) )
90,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY a ) (TOPPING bacon ) ) (TOPPING mushroom ) (TOPPING sausage ) ) )
91,(ORDER (DRINKORDER (NUMBER three ) (DRINKTYPE pepsis ) (NUMBER two ) (DRINKTYPE dr peppers ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE sprite ) ) )
92,(ORDER (PIZZAORDER (SIZE extra large ) (STYLE veggie ) (TOPPING extra cheese ) ) (PIZZAORDER (SIZE extra large ) ) (NOT (TOPPING mushrooms ) ) )
93,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING spinach ) (TOPPING grilled chicken ) ) )
94,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushroom ) (TOPPING pineapple ) ) (NOT (TOPPING ham ) ) )
95,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (STYLE deep dish meat ) ) )
96,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tuna ) (TOPPING pepperoni ) (TOPPING olives ) ) )
97,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING thin ) (COMPLEX_TOPPING (QUANTITY crust ) (TOPPING peppers ) ) (TOPPING chicken ) ) )
98,(ORDER (PIZZAORDER (TOPPING an olive ) (TOPPING sausage ) (NOT (TOPPING tuna ) ) ) )
99,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING thin crust ) (TOPPING pesto ) ) )
100,(ORDER (DRINKORDER (DRINKTYPE pepsis ) (DRINKTYPE one ) (DRINKTYPE fanta ) ) (DRINKORDER (NUMBER one ) (SIZE small ) (DRINKTYPE doctor ) (SIZE pepper ) ) )
101,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING bacon ) (TOPPING chicken ) (NOT (TOPPING olives ) ) ) )
102,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tomatoes ) (TOPPING peppers ) (TOPPING sausage ) ) )
103,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING pepper ) (TOPPING mushroom ) (NOT (TOPPING pineapple ) please ) ) )
104,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE thin ) (TOPPING crust ) (TOPPING onion ) ) )
105,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onions ) (TOPPING olives ) (TOPPING sausage ) ) )
106,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING with ) (TOPPING onions ) (TOPPING pesto ) (NOT (TOPPING peppers ) ) ) )
107,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING bacon ) (TOPPING tuna ) (QUANTITY do not add onions ) ) )
108,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (STYLE thin crust ) (TOPPING pesto ) (TOPPING onions ) ) )
109,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (NOT (TOPPING pesto ) please ) ) )
110,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepperoni ) (TOPPING sausage ) ) )
111,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pineapple ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
112,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING chicken ) (TOPPING thin ) (QUANTITY crust peppers ) ) )
113,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tuna ) (TOPPING mushrooms ) (NOT (TOPPING bacon ) ) ) )
114,(ORDER (PIZZAORDER (TOPPING an ) (TOPPING olive ) (TOPPING pepperoni ) (NOT (TOPPING pesto ) ) ) )
115,(ORDER (PIZZAORDER (NUMBER an ) (SIZE extra large ) ) (PIZZAORDER (NUMBER everything ) (NUMBER a ) (SIZE medium ) (TOPPING onions ) (TOPPING extra cheese ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) (TOPPING mushrooms ) ) )
116,(ORDER (PIZZAORDER (NUMBER two ) (SIZE medium ) ) )
117,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING mushroom ) (TOPPING pepper ) (NOT (TOPPING onions ) ) ) )
118,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING ham ) (TOPPING pepperoni ) (TOPPING tuna ) ) )
119,(ORDER (PIZZAORDER (SIZE a ) (SIZE large ) (TOPPING sausage ) (TOPPING olives ) (TOPPING ham ) ) )
120,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) (TOPPING spinach ) (TOPPING anchovies ) ) )
121,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pepperoni ) (TOPPING pineapple ) (NOT (TOPPING tuna ) ) ) )
122,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING bacon ) (TOPPING peppers ) (TOPPING mushrooms ) ) )
123,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER one ) (SIZE small ) (TOPPING extra cheese tuna ) (NOT (TOPPING pepperoni ) ) ) )
124,(ORDER (PIZZAORDER (SIZE medium ) (TOPPING cheese ) ) (PIZZAORDER (NUMBER two ) (SIZE small ) ) (DRINKORDER (NUMBER two ) (SIZE cokes ) ) )
125,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE vegan ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING mushrooms ) ) ) (PIZZAORDER (NUMBER one ) (SIZE small ) (SIZE pepperoni ) ) )
126,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING mushroom ) (TOPPING pineapple ) (NOT (TOPPING ham ) ) ) )
127,(ORDER (PIZZAORDER (NUMBER like ) (SIZE a ) (SIZE small ) (TOPPING onion ) (TOPPING pineapple ) ) (NOT (TOPPING sausage ) ) )
128,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING mushroom ) (NOT (TOPPING pepperoni ) ) ) )
129,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushroom ) (TOPPING tuna ) (NOT (TOPPING peppers ) ) ) )
130,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING mushroom ) (NOT (TOPPING pineapple ) ) ) )
131,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pineapple ) (NOT (TOPPING tuna ) ) ) )
132,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING spinach ) ) (DRINKORDER (NUMBER a ) (SIZE two liter ) (DRINKTYPE coke ) ) )
133,(ORDER (DRINKORDER (NUMBER two ) (CONTAINERTYPE bottle ) ) (DRINKORDER (NUMBER a ) (SIZE medium ) ) (TOPPING ham ) )
134,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (DRINKTYPE pepperoni ) ) (DRINKORDER (NUMBER a ) (SIZE two liter ) (DRINKTYPE sprite ) ) )
135,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pesto tuna ) (QUANTITY not ) ) )
136,(ORDER (PIZZAORDER (NUMBER three ) ) (TOPPING bacon ) (NOT (TOPPING pepperoni ) ) )
137,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pesto ) (NOT (TOPPING pineapple ) ) ) )
138,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING onions ) (TOPPING chicken ) (NOT (TOPPING ham ) ) ) )
139,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE thin crust ) (NOT (TOPPING onions ) ) ) )
140,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING ham ) ) (TOPPING mushrooms ) )
141,(ORDER (PIZZAORDER (TOPPING i'll ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE fanta ) (NUMBER two ) (DRINKTYPE dr peppers ) ) (DRINKORDER (NUMBER four ) (SIZE small ) (DRINKTYPE pepsis ) ) )
142,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (STYLE italian sausage ) (TOPPING peppers ) (TOPPING feta ) (TOPPING green olives ) ) (DRINKORDER (NUMBER a ) ) (SIZE small ) )
143,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING ham ) (TOPPING pepperoni ) ) (NOT (TOPPING tuna ) ) )
144,(ORDER (PIZZAORDER (NUMBER a ) (STYLE thin crust ) (TOPPING chicken ) (TOPPING pineapple ) ) )
145,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pepperoni ) (TOPPING ham ) (NOT (TOPPING onions ) ) ) )
146,(ORDER (PIZZAORDER (NUMBER a ) (COMPLEX_TOPPING (QUANTITY small ) (TOPPING pepperoni ) ) (TOPPING ham ) ) (NOT (TOPPING tuna ) ) )
147,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushrooms ) (TOPPING tuna ) (NOT (TOPPING peppers ) ) ) )
148,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER two ) (SIZE small ) (STYLE thin crust ) (TOPPING pesto ) (TOPPING onions ) ) )
149,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING bacon ) (TOPPING extra ) (TOPPING cheese ) (NOT (TOPPING mushrooms ) ) ) )
150,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING chicken ) (TOPPING pesto ) ) )
151,(ORDER (PIZZAORDER (NUMBER like ) (NUMBER a ) (TOPPING extra cheese ) (TOPPING pepperoni ) ) )
152,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) (TOPPING carrots ) (TOPPING salami ) ) )
153,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING onions ) (TOPPING salami ) ) )
154,(ORDER (PIZZAORDER (NUMBER three ) (SIZE medium ) (TOPPING roasted garlic ) ) )
155,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) (TOPPING onions ) (TOPPING olives ) (TOPPING chicken ) ) )
156,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pepperoni ) ) (PIZZAORDER (TOPPING sausage ) ) (NOT (TOPPING mushrooms ) ) )
157,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pesto ) (TOPPING pepperoni ) (QUANTITY extra ) ) (TOPPING cheese ) )
158,(ORDER (PIZZAORDER (NUMBER three ) (TOPPING pesto onions ) (TOPPING bacon ) ) )
159,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING peppers ) (TOPPING as ) (TOPPING well ) (TOPPING as ) ) (NOT (TOPPING olives ) ) )
160,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE big meat ) ) (DRINKORDER (NUMBER two ) (SIZE medium ) (DRINKTYPE cokes ) ) )
161,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onion ) (NOT (TOPPING pesto ) ) ) )
162,(ORDER (PIZZAORDER (NUMBER two ) (SIZE small ) (DRINKTYPE thin crust ) (TOPPING pesto ) ) )
163,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepperoni ) (TOPPING sausage hot peppers onions ) (TOPPING bacon ) ) (DRINKORDER (NUMBER four ) (SIZE medium ) (DRINKTYPE cokes ) ) )
164,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) (TOPPING mushrooms ) (TOPPING pineapple ) ) )
165,(ORDER (DRINKORDER (NUMBER five ) (SIZE large ) (DRINKTYPE cokes ) ) )
166,(ORDER (PIZZAORDER (NOT (TOPPING olives ) ) ) )
167,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) (TOPPING lettuce ) (TOPPING tuna ) ) )
168,(ORDER (PIZZAORDER (NUMBER two ) (TOPPING mushroom ) (NOT (TOPPING pepperoni ) ) ) )
169,(ORDER (PIZZAORDER (SIZE two ) (SIZE small ) (TOPPING onion ) (TOPPING mushrooms ) (TOPPING peppers ) ) )
170,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING extra ) (TOPPING cheese ) (TOPPING sausage ) (TOPPING mushrooms ) ) )
171,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING onion ) (TOPPING chicken ) (NOT (TOPPING ham ) ) ) )
172,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING peppers ) (TOPPING ham ) (TOPPING olives ) ) )
173,(ORDER (PIZZAORDER (SIZE small ) (TOPPING ham ) (QUANTITY thin crust ) ) )
174,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING onions ) (TOPPING bacon ) ) )
175,(ORDER (PIZZAORDER (NUMBER like ) (SIZE one ) (SIZE large ) (TOPPING extra cheese ) (TOPPING pineapple ) ) (NOT (TOPPING pesto ) ) )
176,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepperoni ) (TOPPING extra ) (TOPPING cheese ) (NOT (TOPPING mushrooms ) ) ) )
177,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING peppers ) (TOPPING bay leaves ) ) )
178,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pesto ) (NOT (TOPPING peppers ) ) ) )
179,(ORDER (PIZZAORDER (NUMBER a ) (STYLE thin ) (COMPLEX_TOPPING (QUANTITY crust ) (TOPPING tuna ) ) (NOT (TOPPING pineapple ) ) ) )
180,(ORDER (DRINKORDER (SIZE medium ) (SIZE six large sprites ) (NUMBER two ) (SIZE medium ) (DRINKTYPE sprites ) ) (DRINKORDER (NUMBER four ) (SIZE large ) (DRINKTYPE ice teas ) ) )
181,(ORDER (PIZZAORDER (NUMBER five ) (SIZE medium ) (TOPPING peppers ) (TOPPING chicken ) ) )
