id,output
18,(ORDER (PIZZAORDER (TOPPING pizza ) (TOPPING with ) (TOPPING sausage ) (NOT (TOPPING but ) without ) ) )
19,(ORDER (PIZZAORDER (TOPPING a ) (TOPPING and ) ) )
20,(ORDER (DRINKORDER (NUMBER two ) (SIZE large ) (DRINKTYPE 7 ups ) (NUMBER one ) (SIZE medium ) (DRINKTYPE sprite ) ) (DRINKORDER (NUMBER an ) (NUMBER a ) (SIZE lot ) (COMPLEX_TOPPING (QUANTITY with a lot ) (TOPPING of ) ) (COMPLEX_TOPPING (QUANTITY and a lot ) (TOPPING of ) ) ) )
21,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE capers ) ) )
22,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING with yellow ) (TOPPING peppers ) ) (QUANTITY please ) )
23,(ORDER (PIZZAORDER (TOPPING do ) (TOPPING parmesan ) (TOPPING please: zero ) ) )
24,(ORDER (PIZZAORDER (NUMBER four ) (SIZE personal ) (TOPPING tomato ) (TOPPING pickles ) ) )
25,(ORDER (PIZZAORDER (STYLE a ) (TOPPING pesonal ) ) (PIZZAORDER (COMPLEX_TOPPING (QUANTITY pizza ) (TOPPING with a ) ) (TOPPING little ) bit ) )
26,(ORDER (PIZZAORDER (STYLE twelve ) (TOPPING with red ) (TOPPING onions ) (TOPPING and ) ) )
27,(ORDER (PIZZAORDER (TOPPING pizza with ) (TOPPING alfredo ) (TOPPING carrots ) ) (NOT (STYLE please ) ) )
28,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING pineapple lamb onions pine ) apple ) )
29,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING with ) (TOPPING everything ) (NOT (TOPPING without ) mushrooms ) ) )
30,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING mushy ) ) )
31,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) (QUANTITY a ) ) (NOT (TOPPING garlic ) ) )
32,(ORDER (PIZZAORDER (STYLE good ) ) (PIZZAORDER (TOPPING medium-ize ) (TOPPING with ) ) )
33,(ORDER (PIZZAORDER (TOPPING pizza ) (TOPPING with ) ) )
34,(ORDER (PIZZAORDER (NUMBER a ) (STYLE a ) (NOT (TOPPING it ) ) (PIZZAORDER (NOT (TOPPING want ) ) (NOT (TOPPING but ) ) ) ) )
35,(ORDER (PIZZAORDER (NUMBER two ) (TOPPING with black ) (TOPPING and ) (NOT (STYLE the ) ) (QUANTITY a little ) ) )
36,(ORDER (PIZZAORDER (STYLE a ) ) (PIZZAORDER (NUMBER need ) (SIZE a ) (STYLE pie for the ) ) (PIZZAORDER (TOPPING i'd like ) (TOPPING peppers ) ) )
37,(ORDER (PIZZAORDER (TOPPING 3 ) (TOPPING broccoli ) ) )
38,(ORDER (PIZZAORDER (STYLE with a ) (TOPPING with ) (TOPPING jalepenos ) (NOT (TOPPING but ) no ) ) )
39,(ORDER (PIZZAORDER (STYLE your ) (TOPPING a ) (TOPPING large-size ) (TOPPING with ) ) (TOPPING onions ) )
40,(ORDER (PIZZAORDER (TOPPING with ) (TOPPING and ) ) (NUMBER and (NUMBER sevn ) (STYLE sprite with ) ) (CONTAINERTYPE it ) )
41,(ORDER (PIZZAORDER (TOPPING pie ) (TOPPING with ) (TOPPING pepper hamburger ) ) )
42,(ORDER (PIZZAORDER (TOPPING bell ) (TOPPING peppers ) (TOPPING but ) ) )
43,(ORDER (PIZZAORDER (NUMBER 14 ) (COMPLEX_TOPPING (QUANTITY med a little bit ) (TOPPING green ) ) (COMPLEX_TOPPING (QUANTITY pepper a little bit ) (TOPPING cheeseburger ) ) ) )
44,(ORDER (PIZZAORDER (NUMBER two ) (TOPPING with pine ) (TOPPING and low fat ) ) )
45,(ORDER (PIZZAORDER (NUMBER or ) (SIZE 7 ) (TOPPING pizzas with feta ) (TOPPING cheese ) (TOPPING and black ) ) (PIZZAORDER (SIZE six ) (TOPPING with ) (TOPPING pepperoni ) (TOPPING and ) mushrooms ) )
46,(ORDER (PIZZAORDER (NUMBER a ) (STYLE medium-sized ) (TOPPING with ) (TOPPING and ) fresh ) )
47,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING with ) (TOPPING and ) ) )
48,(ORDER (PIZZAORDER (SIZE a extra ) (STYLE large all the ) ) (DRINKORDER (NUMBER and ) (SIZE a two ) (DRINKTYPE liter ) ) )
49,(ORDER (PIZZAORDER (STYLE secure ) (TOPPING along ) (TOPPING with red ) (TOPPING and kimchi ) ) )
50,(ORDER (PIZZAORDER (NUMBER with ) (TOPPING with ) (TOPPING and ) (TOPPING ham ) on ) )
51,(ORDER (PIZZAORDER (STYLE get ) (STYLE one ) (STYLE with ) (STYLE mint ) (TOPPING and big ) (NOT (TOPPING hold pepperoni ) ) ) )
52,(ORDER (PIZZAORDER (NUMBER a ) ) )
53,(ORDER (PIZZAORDER (TOPPING ricotta cheese ) (TOPPING ham ) ) )
54,(ORDER (PIZZAORDER (TOPPING a ) (TOPPING medium ) (TOPPING and ) (COMPLEX_TOPPING (QUANTITY with ) (TOPPING extra ) ) ) (TOPPING cheese ) )
55,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING cucumber ) (NOT (TOPPING all ) ) ) )
56,(ORDER (PIZZAORDER (NOT (TOPPING also ) (NOT (STYLE but ) (NOT (TOPPING definitely ) no (NOT (STYLE a ) ) (TOPPING lot ) ) ) ) ) )
57,(ORDER (PIZZAORDER (TOPPING with ) (TOPPING sauce ground ) (TOPPING beef ) (TOPPING and ) (STYLE with ) a ) )
58,(ORDER (PIZZAORDER (TOPPING with banana ) (TOPPING and ) ) )
59,(ORDER (PIZZAORDER (NUMBER like ) (TOPPING with ) ) (DRINKORDER (NUMBER and ) (DRINKTYPE four ) (DRINKTYPE diet sprites ) (NOT (TOPPING which ) ) (DRINKORDER (STYLE along ) (TOPPING with ) ) ) )
60,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING artichokes ) (TOPPING balsamic glaze ) (QUANTITY not include sauce ) ) )
61,(ORDER (DRINKORDER (SIZE small ) (DRINKTYPE cherry ) ) (DRINKORDER (DRINKTYPE medium ) (NUMBER two ) ) (DRINKTYPE small (DRINKTYPE three ) (DRINKTYPE small ice teas ) ) )
62,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med ) (TOPPING green cheeseburger cheeseburger ) ) )
63,(ORDER (PIZZAORDER (NUMBER a ) ) (PIZZAORDER (SIZE large size ) (TOPPING but ) (TOPPING red onion ) ) (PIZZAORDER (TOPPING peas ) ) )
64,(ORDER (PIZZAORDER (TOPPING with ricotta ) (TOPPING cheese peas ) (COMPLEX_TOPPING (QUANTITY do not ) (TOPPING add ) ) ) )
65,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING smoked ) ) (PIZZAORDER (TOPPING with ) ) (TOPPING pepperoni ) )
66,(ORDER (DRINKORDER (STYLE and ) (TOPPING a ) extralarge ) )
67,(ORDER (PIZZAORDER (SIZE 1 ) (TOPPING balsamic gaze ) ) )
68,(ORDER (PIZZAORDER (STYLE i'm ) ) (PIZZAORDER (TOPPING tomatoes ) (NOT (TOPPING but ) (NOT (TOPPING i ) ) (NOT (STYLE do ) ) ) ) )
69,(ORDER (DRINKORDER (QUANTITY a ) (SIZE extra ) ) (TOPPING lage ) )
70,(ORDER (PIZZAORDER (STYLE me ) (TOPPING pizza ) (TOPPING with ) (TOPPING garlic ) (NOT (TOPPING and ) (NOT (TOPPING but ) no ) ) ) )
71,(ORDER (PIZZAORDER (NUMBER 1 ) (NOT (TOPPING please ) (NOT (TOPPING make ) ) (PIZZAORDER (TOPPING with ) ) (PIZZAORDER (TOPPING as ) red ) (PIZZAORDER (NOT (TOPPING want ground ) ) ) ) ) )
72,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING with green ) bell (PIZZAORDER peppers ) ) )
73,(ORDER (PIZZAORDER (SIZE 1 ) (SIZE lunch ) (TOPPING tofu ) (TOPPING lettuce ) ) )
74,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING green pepper gruyere ) (TOPPING cheese but ) (TOPPING add ) ) )
75,(ORDER (PIZZAORDER (STYLE with ) (TOPPING with ) (TOPPING and ) (NOT (TOPPING hold peppers ) ) ) )
76,(ORDER (PIZZAORDER (NUMBER i'll ) (SIZE take ) (SIZE a ) ) (TOPPING along ) )
77,(ORDER (PIZZAORDER (NUMBER ordering ) (SIZE large ) (TOPPING size ) (TOPPING with jalepenos ) (TOPPING tomato ) (NOT (STYLE but ) without ) ) )
78,(ORDER (PIZZAORDER (TOPPING with buffalo ) (TOPPING and artichokes ) ) )
79,(ORDER (PIZZAORDER (TOPPING with buffalo ) (TOPPING and pesto ) (TOPPING sauce ) ) )
80,(ORDER (PIZZAORDER (TOPPING 9 ) (TOPPING carrots ) (TOPPING black olive ) (NOT (TOPPING pesto ) ) ) )
81,(ORDER (PIZZAORDER (NUMBER for ) (TOPPING with bbq ) (TOPPING and ) ) )
82,(ORDER (PIZZAORDER (NUMBER a ) (STYLE ten ) (TOPPING peas ) ) (DRINKORDER (DRINKTYPE one ) (DRINKTYPE coke ) ) )
83,(ORDER (PIZZAORDER (TOPPING with ) (TOPPING and roasted red ) ) )
84,(ORDER (PIZZAORDER (NUMBER five ) (SIZE large ) (TOPPING light ) ) (DRINKORDER (QUANTITY five ) ) )
85,(ORDER (PIZZAORDER (TOPPING with spicy red ) (NOT (TOPPING hold any ) ) ) )
86,(ORDER (PIZZAORDER (TOPPING pizza which ) ) (TOPPING is (TOPPING bacon ) (NUMBER and ) (STYLE some ) ) )
87,(ORDER (PIZZAORDER (STYLE 13 bell ) (STYLE along with ) all ) )
88,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (TOPPING everything plus light ) ) (TOPPING and ) )
89,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING garlic ) (TOPPING tomatoe ) (TOPPING with ) (TOPPING mushrooms ) ) )
90,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY as ) (TOPPING a ) ) (TOPPING and ) (TOPPING with additional ) ) )
91,(ORDER (PIZZAORDER (STYLE to ) (TOPPING with ) ) )
92,(ORDER (PIZZAORDER (STYLE 14 ) (TOPPING with ) (TOPPING and ) (QUANTITY and ) (CONTAINERTYPE add ) (CONTAINERTYPE 14 ) (STYLE of ) ) (STYLE with ) )
93,(ORDER (PIZZAORDER (TOPPING 11 ) ) )
94,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) (TOPPING peppers ) (TOPPING smoked ) ) )
95,(ORDER (PIZZAORDER (TOPPING smoked salmon ) (TOPPING and ) ) )
96,(ORDER (PIZZAORDER (TOPPING pizzas ) (TOPPING with ) (TOPPING onion ) (TOPPING and ) ) )
97,(ORDER (DRINKORDER (NUMBER peppers ) (CONTAINERTYPE six ) ) (DRINKORDER (QUANTITY and ) (SIZE six extra ) ) )
98,(ORDER (PIZZAORDER (TOPPING with ) (TOPPING olives ) ) )
99,(ORDER (DRINKORDER (NUMBER Milkshakes ) (SIZE six extra ) ) (DRINKORDER (NUMBER cokes ) (DRINKTYPE and ) (CONTAINERTYPE a medium ) ) )
100,(ORDER (PIZZAORDER (STYLE me secure ) (STYLE with ) (DRINKTYPE salmon ) (DRINKTYPE and ) veggie ) )
101,(ORDER (PIZZAORDER (TOPPING along ) (TOPPING with ) (TOPPING feta and ) ) (NOT (STYLE without ) ) )
102,(ORDER (PIZZAORDER (NUMBER for ) (TOPPING with grilled ) (TOPPING and roasted ) ) (NOT (STYLE please ) ) )
103,(ORDER (PIZZAORDER (STYLE a ) (COMPLEX_TOPPING (QUANTITY pizza ) (TOPPING with ) ) (CONTAINERTYPE a ) medium ) )
104,(ORDER (PIZZAORDER (TOPPING i'll go ) ) (PIZZAORDER (COMPLEX_TOPPING (QUANTITY a ) (TOPPING large ) ) (TOPPING cumin ) ) (NOT (TOPPING olives ) ) )
105,(ORDER (PIZZAORDER (NUMBER two ) (TOPPING with ) pickled (DRINKTYPE and ) then (TOPPING pizza ) (TOPPING with a drizzle ) ) )
106,(ORDER (PIZZAORDER (SIZE one ) (TOPPING with ) (TOPPING sun-dried ) (TOPPING and ) (TOPPING and bbq ) ) )
107,(ORDER (PIZZAORDER (STYLE six ) ) (PIZZAORDER (TOPPING with alot ) ) )
108,(ORDER (PIZZAORDER (STYLE with ) (TOPPING pizza ) (TOPPING with ) (TOPPING and ) (NOT (TOPPING but ) no ) ) )
109,(ORDER (PIZZAORDER (NUMBER to ) (TOPPING with ) ) )
110,(ORDER (PIZZAORDER (SIZE large ) (TOPPING bacon ) (TOPPING chicken ) ) )
111,(ORDER (PIZZAORDER (TOPPING pizza ) (TOPPING with ) (TOPPING and ) (NOT (TOPPING no ) pesto ) ) )
112,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING with ) (TOPPING and fontina ) (NOT (STYLE but i'm ) ) (CONTAINERTYPE not in ) ) (STYLE the ) )
113,(ORDER (PIZZAORDER (NUMBER a ) ) (PIZZAORDER (TOPPING pickled ) (TOPPING with ) (TOPPING and ) tuna ) )
114,(ORDER (PIZZAORDER (NOT (TOPPING please ) ) (PIZZAORDER (TOPPING with ) (TOPPING sauce ) (NOT (TOPPING mushrooms and ) ) (NOT (TOPPING sure ) ) ) ) )
115,(ORDER (PIZZAORDER (TOPPING with red ) (TOPPING and yellow ) (NOT (TOPPING without ham ) ) ) )
116,(ORDER (PIZZAORDER (TOPPING with tuna ) (TOPPING and garlic ) ) )
117,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING favor ) ) (PIZZAORDER (NUMBER a ) (STYLE med ) (TOPPING buffalo sauce ) ) (TOPPING red ) )
118,(ORDER (PIZZAORDER (TOPPING a buffalo ) (TOPPING and ) (TOPPING with ) (NOT (TOPPING no chicken ) ) ) )
119,(ORDER (PIZZAORDER (NOT (TOPPING no ) ) (QUANTITY a ) (NOT (TOPPING little ) ) ) (TOPPING bit ) )
120,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) (NUMBER a ) (SIZE lunch ) ) (PIZZAORDER (SIZE a ) (DRINKTYPE lunch ) ) )
121,(ORDER (PIZZAORDER (SIZE a ) (TOPPING with jalepeno ) (TOPPING and gruyere ) (NOT (STYLE i ) do (PIZZAORDER not ) want ) ) )
122,(ORDER (PIZZAORDER (TOPPING pizza ) (TOPPING with double ) (NOT (TOPPING no ) pesto ) ) )
123,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING with ) (TOPPING peppers ) sauteed (QUANTITY and a tiny ) ) (TOPPING bit ) )
124,(ORDER (PIZZAORDER (NUMBER a ) (STYLE large-size ) (TOPPING with ) (TOPPING and extra cheese ) ) )
125,(ORDER (PIZZAORDER (SIZE small ) (TOPPING tomtoes ) (QUANTITY a little bit ) cheese ) )
126,(ORDER (PIZZAORDER (STYLE includes ) (TOPPING pizza with ) (TOPPING peppers ) (NOT (TOPPING and ) ) (NOT (TOPPING no (DRINKORDER please ) ) ) ) )
127,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY me ) (TOPPING a ) ) (TOPPING pineapple bbq ) (NOT (TOPPING no ) ) ) )
128,(ORDER (TOPPING in ) )
129,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING red onion ) (NOT (TOPPING extra cheese ) ) ) )
130,(ORDER (PIZZAORDER (TOPPING with ) (TOPPING and ) ) )
131,(ORDER (PIZZAORDER (SIZE for lunch ) (TOPPING size ) (TOPPING including green ) (TOPPING and canadian ) ) (PIZZAORDER (NOT (TOPPING but ) ) (NOT (TOPPING no (PIZZAORDER tomatoes ) ) ) ) )
132,(ORDER (PIZZAORDER (TOPPING a ) (TOPPING pesonal ) ) (PIZZAORDER (NOT (TOPPING no ) bacon ) ) )
133,(ORDER (PIZZAORDER (TOPPING with ) (TOPPING extra ) (TOPPING and ) (NOT (TOPPING no ) ) ) )
134,(ORDER (QUANTITY this (STYLE order ) ) (TOPPING a (TOPPING medium-size ) italian (PIZZAORDER with ) ) (TOPPING some ) )
135,(ORDER (PIZZAORDER (NUMBER a ) ) (PIZZAORDER (TOPPING cherry ) (TOPPING bacon ) ) )
136,(ORDER (PIZZAORDER (NUMBER just ) (NUMBER one ) (TOPPING pan ) (TOPPING sun-dried tomatoes ) ) )
137,(ORDER (PIZZAORDER (NUMBER get ) (TOPPING a medium-size ) (TOPPING peppers ) (QUANTITY pie ) (NOT (TOPPING with ) ) (NOT (STYLE no ) ) ) )
138,(ORDER (PIZZAORDER (NUMBER my ) (STYLE 15 ) (TOPPING with ) ) (PIZZAORDER (TOPPING peas ) (PIZZAORDER and ) (NUMBER cheese ) (SIZE one ) (TOPPING pizza with ) ) (TOPPING blue (PIZZAORDER cheese ) ) (PIZZAORDER (TOPPING mushrooms ) (NUMBER and ) (TOPPING pizza with blue ) (PIZZAORDER cheese ) (TOPPING and green ) ) )
139,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY a ) (TOPPING xl anchovis ) ) ) )
140,(ORDER (PIZZAORDER (STYLE with ) (TOPPING pizza with ) (TOPPING chicken ) (TOPPING and yellow ) (STYLE peppers ) ) (DRINKORDER (STYLE go ) (NOT (STYLE with ) ) (STYLE two ) (QUANTITY bottle ) (NOT (STYLE of ) ) ) )
141,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING xl ground ) (TOPPING with a ) (TOPPING bunchof ) ) (PIZZAORDER (TOPPING and ) (DRINKTYPE pesto ) ) )
142,(ORDER (PIZZAORDER (TOPPING like low ) (STYLE fat ) (STYLE cheese ) ) (STYLE make (NOT (TOPPING and no ) bbq ) ) )
143,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING xl bbq ) (TOPPING and ) (STYLE with ) ) )
144,(ORDER (PIZZAORDER (TOPPING artichokes heavy on ) (NOT (TOPPING without bacon ) ) ) )
145,(ORDER (PIZZAORDER (STYLE 13 ) (TOPPING with ) (STYLE a ) (COMPLEX_TOPPING (QUANTITY crust ) (TOPPING and ) ) ) )
146,(ORDER (PIZZAORDER (NUMBER like ) (TOPPING pizza ) (TOPPING with extra ) (TOPPING geen ) (TOPPING peppers ) (TOPPING tuna ) ) )
147,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING with ) (TOPPING tuna ) (TOPPING and ) (TOPPING bacon pepperoni ) ) )
148,(ORDER (NOT (STYLE pizza (PIZZAORDER but ) ) ) )
149,(ORDER (PIZZAORDER (STYLE grab ) (TOPPING with ) (NUMBER and ) (NOT (TOPPING not ) ) ) )
150,(ORDER (PIZZAORDER (NUMBER a ) (COMPLEX_TOPPING (QUANTITY of ) (TOPPING a med ) ) ) )
151,(ORDER (PIZZAORDER (SIZE extra large ) (TOPPING roasted tomatoes ) ) (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE stuffed crust ) ) )
152,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (NUMBER and ) (NOT (STYLE all ) ) (NOT (TOPPING veggies ) ) ) )
153,(ORDER (PIZZAORDER (STYLE a ) (TOPPING with italian ) (TOPPING sausage ) (TOPPING and mushroom ) ) )
154,(ORDER (PIZZAORDER (SIZE large ) ) (PIZZAORDER (NUMBER 2 ) (SIZE large ) (TOPPING smoked ) (TOPPING and ) (TOPPING extra ) (NUMBER and ) ) (DRINKTYPE six ) )
155,(ORDER (PIZZAORDER (STYLE like ) ) )
156,(ORDER (PIZZAORDER (TOPPING with tomatoe sauce spicy ) (TOPPING sauce ) (TOPPING and ) spinach ) )
157,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING tomato ) (TOPPING chorizo ) (TOPPING onions ) ) )
158,(ORDER (PIZZAORDER (SIZE small ) (TOPPING ricotta cheese ) ) (PIZZAORDER (NOT (TOPPING no ) green ) ) )
159,(ORDER (PIZZAORDER (NUMBER one ) (STYLE persoal ) (NOT (TOPPING without roasted red ) ) (PIZZAORDER (NUMBER and ) (DRINKTYPE two ) (DRINKTYPE medium ) (SIZE extra ) ) ) )
160,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING sriracha ) (NOT (STYLE any ) ) ) )
161,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING peppers ) (TOPPING pineapple ) (NOT (TOPPING tuna ) ) ) )
162,(ORDER (PIZZAORDER (STYLE let's ) ) (PIZZAORDER (TOPPING with feta ) (TOPPING and ) ) )
163,(ORDER (PIZZAORDER (NUMBER two ) (STYLE med ) (TOPPING with ) (TOPPING and ) (QUANTITY onions ) ) )
164,(ORDER (PIZZAORDER (TOPPING with vegan ) (TOPPING pepperoni ) black ) )
165,(ORDER (PIZZAORDER (SIZE 14 ) (SIZE medium ) ) (DRINKORDER (QUANTITY a two liter ) of ) )
166,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING lemon zest ) ) (NOT (TOPPING no ) ) )
167,(ORDER (PIZZAORDER (STYLE i'll ) ) (DRINKORDER (NOT (STYLE the eleven ) (NUMBER six ) (DRINKTYPE small ) (DRINKTYPE cokes and ) (DRINKTYPE six ) ) ) )
168,(ORDER (PIZZAORDER (NUMBER like ) (SIZE 1 ) (TOPPING sweet ) potatoes ) )
169,(ORDER (PIZZAORDER (TOPPING with ) light (NUMBER and ) ) (PIZZAORDER (COMPLEX_TOPPING (QUANTITY pizzas ) (TOPPING with ) ) extra ) )
170,(ORDER (PIZZAORDER (STYLE having ) (TOPPING pizza with ) (TOPPING pineapple ) (TOPPING and pepperoni ) ) )
171,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING red ) cabbage ) )
172,(ORDER (PIZZAORDER (NUMBER i'd ) (SIZE like ) (STYLE 1 ) (TOPPING with ) (NUMBER and ) (DRINKTYPE all ) (DRINKTYPE the ) ) (NOT (TOPPING veggies ) ) )
173,(ORDER (PIZZAORDER (TOPPING with ) (TOPPING and ) ) (NOT (TOPPING the ) ) )
174,(ORDER (PIZZAORDER (SIZE me ) (SIZE 4 ) ) (QUANTITY pizza (STYLE 4 ) ) (CONTAINERTYPE cans ) )
175,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING truffle oil ) (TOPPING onions ) ) )
176,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING medium-size ) (QUANTITY with ) (COMPLEX_TOPPING (QUANTITY a little ) (TOPPING bit ) ) ) (TOPPING cheese ) )
177,(ORDER (PIZZAORDER (TOPPING i'd ) ) (TOPPING ty ) )
178,(ORDER (PIZZAORDER (STYLE of ) (STYLE a ) (TOPPING pie ) (TOPPING with olives ) (NOT (TOPPING also add some ) additional ) ) )
179,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING along ) (TOPPING low fat cheese ) (TOPPING black beans ) (NOT (TOPPING ham ) ) ) )
180,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING artichokes ) (TOPPING canadian ) (NOT (TOPPING no bbq ) sauce ) ) )
181,(ORDER (PIZZAORDER (COMPLEX_TOPPING (QUANTITY 5 ) (TOPPING onions ) ) (NOT (TOPPING pesto ) sauce ) ) )
182,(ORDER (PIZZAORDER (TOPPING a ) (TOPPING medium-sze grilled ) (TOPPING and truffle ) ) )
183,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING favor ) ) (PIZZAORDER (NUMBER a ) (TOPPING with ) (TOPPING carrots ) (TOPPING ham green ) (TOPPING and ) (TOPPING sauce and ) ) (TOPPING on ) )
184,(ORDER (PIZZAORDER (SIZE for ) (TOPPING with ) leeks (TOPPING and ) ) (DRINKTYPE pepers ) )
185,(ORDER (PIZZAORDER (TOPPING ham ) (TOPPING pesto ) (TOPPING leave ) ) )
186,(ORDER (PIZZAORDER (NUMBER only ant ) (NUMBER and ) (TOPPING with ) (TOPPING sauce ) (QUANTITY as ) (PIZZAORDER well ) as ) )
187,(ORDER (PIZZAORDER (STYLE i'll ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING with ) ) (NOT (TOPPING but ) (NOT (TOPPING without ) mushrooms ) ) ) )
188,(ORDER (PIZZAORDER (TOPPING ordering ) (TOPPING soft ) (TOPPING drinks ) tonight (DRINKTYPE 1 ) (NOT (STYLE Grape ) ) (DRINKTYPE juice ) ) (DRINKTYPE diet (NUMBER sprite ) (DRINKTYPE and ) (NOT (STYLE three ) ) (DRINKTYPE pepsis ) ) (NOT (STYLE please ) ) )
189,(ORDER (PIZZAORDER (QUANTITY like ) (COMPLEX_TOPPING (QUANTITY a ) (TOPPING extra ) ) (TOPPING large ) (NOT (TOPPING without ) (NOT (TOPPING any bacon ) ) ) ) )
190,(ORDER (DRINKORDER (STYLE 5 ) (DRINKTYPE juice ) (DRINKTYPE two ) ) (DRINKTYPE peppers (DRINKTYPE and ) (CONTAINERTYPE a sprite ) ) )
191,(ORDER (PIZZAORDER (STYLE g ) (TOPPING pizza with ) (TOPPING and ) (DRINKTYPE and leave ) (NOT (TOPPING off the ) olives ) ) )
192,(ORDER (PIZZAORDER (QUANTITY of a ) ) (TOPPING med ) )
193,(ORDER (PIZZAORDER (NUMBER a ) ) )
